price,qty,side,timestamp
106980.0,0.0003,buy,2025-07-02 07:52:09.600172
106979.85,0.048,buy,2025-07-02 07:52:09.600172
106979.67,5e-05,buy,2025-07-02 07:52:09.600172
106979.6,0.00035,buy,2025-07-02 07:52:09.600172
106979.58,0.17128,buy,2025-07-02 07:52:09.600172
106979.5,0.07945,buy,2025-07-02 07:52:09.600172
106979.39,0.003,buy,2025-07-02 07:52:09.600172
106979.24,0.585,buy,2025-07-02 07:52:09.600172
106979.16,0.6,buy,2025-07-02 07:52:09.600172
106979.0,0.00025,buy,2025-07-02 07:52:09.600172
106978.9,0.00035,buy,2025-07-02 07:52:09.600172
106978.73,0.0026,buy,2025-07-02 07:52:09.600172
106978.5,0.00025,buy,2025-07-02 07:52:09.600172
106978.39,0.00759,buy,2025-07-02 07:52:09.600172
